id,gem_original,'s-Gravenhage,'s-Hertogenbosch,Aa en Hunze,Aalsmeer,Aalten,Achtkarspelen,Alblasserdam,Albrandswaard,Alkmaar,Almelo,Almere,Alphen aan den Rijn,Alphen-Chaam,Altena,Ameland,Amersfoort,Amstelveen,Amsterdam,Apeldoorn,Appingedam,Arnhem,Assen,Asten,Baarle-Nassau,Baarn,Barendrecht,Barneveld,Beek,Beekdaelen,Beemster,Beesel,Berg en Dal,Bergeijk,Bergen (L.),Bergen (NH.),Bergen op Zoom,Berkelland,Bernheze,Best,Beuningen,Beverwijk,Bladel,Blaricum,Bloemendaal,Bodegraven-Reeuwijk,Boekel,Borger-Odoorn,Borne,Borsele,Boxmeer,Boxtel,Breda,Brielle,Bronckhorst,Brummen,Brunssum,Bunnik,Bunschoten,Buren,Capelle aan den IJssel,Castricum,Coevorden,Cranendonck,Cuijk,Culemborg,Dalfsen,Dantumadiel,De Bilt,De Fryske Marren,De Ronde Venen,De Wolden,Delft,Delfzijl,Den Helder,Deurne,Deventer,Diemen,Dinkelland,Doesburg,Doetinchem,Dongen,Dordrecht,Drechterland,Drimmelen,Dronten,Druten,Duiven,Echt-Susteren,Edam-Volendam,Ede,Eemnes,Eersel,Eijsden-Margraten,Eindhoven,Elburg,Emmen,Enkhuizen,Enschede,Epe,Ermelo,Etten-Leur,Geertruidenberg,Geldrop-Mierlo,Gemert-Bakel,Gennep,Gilze en Rijen,Goeree-Overflakkee,Goes,Goirle,Gooise Meren,Gorinchem,Gouda,Grave,Groningen,Gulpen-Wittem,Haaksbergen,Haaren,Haarlem,Haarlemmermeer,Halderberge,Hardenberg,Harderwijk,Hardinxveld-Giessendam,Harlingen,Hattem,Heemskerk,Heemstede,Heerde,Heerenveen,Heerhugowaard,Heerlen,Heeze-Leende,Heiloo,Hellendoorn,Hellevoetsluis,Helmond,Hendrik-Ido-Ambacht,Hengelo,Het Hogeland,Heumen,Heusden,Hillegom,Hilvarenbeek,Hilversum,Hoeksche Waard,Hof van Twente,Hollands Kroon,Hoogeveen,Hoorn,Horst aan de Maas,Houten,Huizen,Hulst,IJsselstein,Kaag en Braassem,Kampen,Kapelle,Katwijk,Kerkrade,Koggenland,Krimpen aan den IJssel,Krimpenerwaard,Laarbeek,Landerd,Landgraaf,Landsmeer,Langedijk,Lansingerland,Laren,Leeuwarden,Leiden,Leiderdorp,Leidschendam-Voorburg,Lelystad,Leudal,Leusden,Lingewaard,Lisse,Lochem,Loon op Zand,Lopik,Loppersum,Losser,Maasdriel,Maasgouw,Maassluis,Maastricht,Medemblik,Meerssen,Meierijstad,Meppel,Middelburg,Midden-Delfland,Midden-Drenthe,Midden-Groningen,Mill en Sint Hubert,Moerdijk,Molenlanden,Montferland,Montfoort,Mook en Middelaar,Neder-Betuwe,Nederweert,Nieuwegein,Nieuwkoop,Nijkerk,Nijmegen,Nissewaard,Noardeast-Fryslân,Noord-Beveland,Noordenveld,Noordoostpolder,Noordwijk,"Nuenen, Gerwen en Nederwetten",Nunspeet,Oegstgeest,Oirschot,Oisterwijk,Oldambt,Oldebroek,Oldenzaal,Olst-Wijhe,Ommen,Oost Gelre,Oosterhout,Ooststellingwerf,Oostzaan,Opmeer,Opsterland,Oss,Oude IJsselstreek,Ouder-Amstel,Oudewater,Overbetuwe,Papendrecht,Peel en Maas,Pekela,Pijnacker-Nootdorp,Purmerend,Putten,Raalte,Reimerswaal,Renkum,Renswoude,Reusel-De Mierden,Rheden,Rhenen,Ridderkerk,Rijssen-Holten,Rijswijk,Roerdalen,Roermond,Roosendaal,Rotterdam,Rozendaal,Rucphen,Schagen,Scherpenzeel,Schiedam,Schouwen-Duiveland,Simpelveld,Sint Anthonis,Sint-Michielsgestel,Sittard-Geleen,Sliedrecht,Sluis,Smallingerland,Soest,Someren,Son en Breugel,Stadskanaal,Staphorst,Stede Broec,Steenbergen,Steenwijkerland,Stein,Stichtse Vecht,Súdwest-Fryslân,Terneuzen,Terschelling,Texel,Teylingen,Tholen,Tiel,Tilburg,Tubbergen,Twenterand,Tynaarlo,Tytsjerksteradiel,Uden,Uitgeest,Uithoorn,Urk,Utrecht,Utrechtse Heuvelrug,Vaals,Valkenburg aan de Geul,Valkenswaard,Veendam,Veenendaal,Veere,Veldhoven,Velsen,Venlo,Venray,Vijfheerenlanden,Vlaardingen,Vlieland,Vlissingen,Voerendaal,Voorschoten,Voorst,Vught,Waadhoeke,Waalre,Waalwijk,Waddinxveen,Wageningen,Wassenaar,Waterland,Weert,Weesp,West Betuwe,West Maas en Waal,Westerkwartier,Westerveld,Westervoort,Westerwolde,Westland,Weststellingwerf,Westvoorne,Wierden,Wijchen,Wijdemeren,Wijk bij Duurstede,Winterswijk,Woensdrecht,Woerden,Wormerland,Woudenberg,Zaanstad,Zaltbommel,Zandvoort,Zeewolde,Zeist,Zevenaar,Zoetermeer,Zoeterwoude,Zuidplas,Zundert,Zutphen,Zwartewaterland,Zwijndrecht,Zwolle,intragemeentelijk,geom
0,'s-Gravenhage,37133,,,,,,,,,,23,22,,,,,27,667,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,21,,,,,,,,,,,,494,,,,,,,,,,25,,,,,,,,22,,,,39,,,,41,,,,,,,,,,,,,,28,,240,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,21,471,,377,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,359,,,,518,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,30,41,,,,,,,,,,221,,,,,,,,,,,,,,,,,,446,,,,,,,,37133,"MULTIPOLYGON (((4.31340442196027 52.1206234641064,4.30290461017381 52.1283241006015,4.29584866854246 52.1241612312993,4.29216701588846 52.1216323125088,4.28313803546834 52.1173872657264,4.27532758003191 52.1119495322095,4.26581725608329 52.1059473970788,4.26250748724789 52.1033457539679,4.25886886086577 52.1024267182355,4.25880576207795 52.1014569726532,4.26103481217916 52.1005920084345,4.26068836396067 52.0995146662741,4.2632783534721 52.0991351939103,4.26721363473494 52.1019036188641,4.2687327394696 52.1011063379286,4.26541175387304 52.0987432229602,4.26726169359091 52.0975741722026,4.2707727318782 52.1000508387464,4.27172516857235 52.0995648038353,4.26419229516976 52.0942524458791,4.26315984650357 52.0947476588205,4.2667222368524 52.0971973282081,4.26501456151238 52.0983656649568,4.26374599756244 52.0968930468833,4.25938067303434 52.0970118823493,4.2606088047422 52.0981871990765,4.25630400530576 52.099705709176,4.25431694410314 52.0969458646102,4.25004761619172 52.0932421869059,4.23856423438969 52.0843400546559,4.22684709401372 52.0758924761041,4.21154863133357 52.0655521311582,4.20725572508039 52.0629881952776,4.20354125293059 52.0599078724343,4.1979774742886 52.0571779874711,4.19619988358364 52.0557426460749,4.1997376168463 52.0508171070495,4.19885354405839 52.0500023601977,4.20218526044802 52.0471123046754,4.2124343459969 52.034033056649,4.20958452618411 52.0336546937657,4.21229222056033 52.0307116243962,4.21378114234316 52.0317836607271,4.21985932889553 52.0338752349199,4.22841881310597 52.0346879150084,4.23501472114477 52.0392949901523,4.2436944542116 52.0293679235752,4.24821710101621 52.025225795678,4.25506907215298 52.0283696058832,4.25619891461928 52.0282686617567,4.27266268241458 52.0359171258649,4.27589603339229 52.0315571892571,4.27787432839553 52.0324982167768,4.2817107784963 52.027430989643,4.28347482238295 52.0267002270969,4.28524986062718 52.0274223254874,4.28514225084544 52.0256202256854,4.28825454909756 52.0237576285395,4.28673371793837 52.0229845843192,4.29434458104856 52.0193586508665,4.28973608840635 52.01764781444,4.29551214852881 52.0148484327321,4.30107536461927 52.0178689519573,4.30266406151141 52.0164880492144,4.30763858482127 52.0181513596461,4.29792993049729 52.0294100275191,4.29861668342247 52.0298213522367,4.29095168926295 52.0415729754422,4.29345289382112 52.0430626217711,4.29759264536639 52.044074647097,4.29835540943699 52.0455409516235,4.30339028320666 52.0470093857619,4.30384028079288 52.0464940016077,4.30915435344796 52.0482986072706,4.31315534758489 52.0501507148134,4.31988199194075 52.0519935910441,4.32190798087047 52.0530517432401,4.3213865764461 52.0546297201622,4.32425703371976 52.0556962240756,4.32537741528765 52.0553879573875,4.32870865341866 52.0565569314243,4.34004717856598 52.0618058991783,4.34635512936587 52.0573835351989,4.34657621550628 52.0556067748482,4.34450385628931 52.054056508898,4.35263870772728 52.0490951755508,4.35231418339575 52.0481584324823,4.34719114588993 52.0458214477703,4.34639475020216 52.0428916720728,4.3504056183196 52.039472980352,4.35377785516197 52.0306759825482,4.35483389798672 52.0304383262882,4.35976951783565 52.0265460423118,4.37349918676265 52.0325988085737,4.37973528809695 52.0267326824558,4.38862409826246 52.0304975533957,4.39392842697849 52.0330539152687,4.38785089565642 52.0384428508138,4.38613187803449 52.0385050308122,4.3798581964689 52.0359522837414,4.37264557118419 52.0409197385303,4.38790451807777 52.051169488719,4.38967617602102 52.0499613468636,4.39258676589995 52.0531531190656,4.39444499781423 52.0540539007736,4.39854952026677 52.0512178764723,4.40162477688249 52.0535364161585,4.40491837475091 52.0529879824001,4.42207240357568 52.0516730882299,4.41523088660617 52.0570129034447,4.41598044254683 52.0573570856797,4.42248965430295 52.0571940404279,4.42051568066044 52.0619548241841,4.42062641852212 52.0635215860187,4.41724357765629 52.0662216469081,4.41178656688241 52.072214335556,4.40392354504918 52.0778452611459,4.39709232230004 52.0747632038122,4.39462152483626 52.0759069187308,4.3886509533691 52.0729737863612,4.3845826631602 52.0762342748077,4.37999584198889 52.0747450156871,4.36231117276818 52.0642242764192,4.35601112041327 52.0615674649098,4.3602421242783 52.0586662483047,4.35757494346486 52.0565536129898,4.35392808556702 52.0590204924002,4.35228147136903 52.0593940969848,4.34800360034127 52.0564981137312,4.34219574491782 52.061134551849,4.34650653195536 52.0631769006844,4.35294705199093 52.0668856043166,4.3555187020389 52.0680398024618,4.33521319856928 52.0750004045887,4.34548382340603 52.0791507684414,4.34555750157728 52.0796128988366,4.37168750994375 52.0913568692865,4.37351447075006 52.0922967999699,4.37146675006915 52.0938346521467,4.37270929656381 52.0947725944246,4.37007298819861 52.0960642078994,4.36020942509397 52.1047014252358,4.35848925774258 52.1057613132523,4.35679866742956 52.10458998004,4.34549873559797 52.0988132391385,4.3423181098293 52.0974818356277,4.34136203954827 52.0983424894725,4.33857337323665 52.0974348090473,4.33725292981257 52.0987695110047,4.3274844586926 52.0955670958583,4.3232820252571 52.0992165107761,4.33226427486402 52.1030400847113,4.33031736527975 52.1043420097957,4.33306041343135 52.1057307819054,4.3298854278334 52.1085188091308,4.31340442196027 52.1206234641064,4.31340442196027 52.1206234641064)),((4.19209510841201 52.0579669303689,4.19321348057634 52.0587096019268,4.19019242409205 52.0588042586168,4.19209510841201 52.0579669303689,4.19209510841201 52.0579669303689)))"
1,'s-Hertogenbosch,40,11513,,,,,,,,,,,,,,,,207,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,115,,,,24,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,24,,,130,,,23,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,,,308,,,,,,,,,,,,,,,,,,,56,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11513,"MULTIPOLYGON (((5.22751741475923 51.7271508113949,5.23103188679667 51.7240862938781,5.23046557624237 51.7209855115143,5.22853567068197 51.7147677587004,5.22997743533091 51.7105695604079,5.24120424314967 51.7139888858729,5.23629533338176 51.7063242737817,5.23575644719895 51.7046530677534,5.23727397294785 51.7047612618345,5.23898932802639 51.7020408457172,5.24112032826144 51.7010255368547,5.24701261066329 51.7027353836856,5.24817404919333 51.7011029189368,5.25160669479318 51.6995022134151,5.24891822406511 51.6972177484892,5.2489236236653 51.6955016527557,5.2458116743269 51.6943552155296,5.22711295169331 51.6909645386784,5.22606155777983 51.6900435558456,5.23190175730918 51.6892571956904,5.23427173066235 51.6854993843119,5.23839454675366 51.6845326098701,5.24352177921362 51.6839728198606,5.24686763477604 51.6831688776486,5.25117126830087 51.6841120181097,5.25487473653282 51.6843676382713,5.25833191637258 51.6838903883218,5.26568882560829 51.6847225704955,5.2887926827858 51.6816483052073,5.28944480561495 51.6785361843452,5.29192212324904 51.6744584639931,5.29134654726065 51.6724661944055,5.29232146968907 51.6716688610626,5.29424806596119 51.6721983271786,5.29893074187556 51.6671237831871,5.30059940806686 51.6682556837623,5.30321646253565 51.6672044202925,5.30994445098428 51.6693678880409,5.31875910802043 51.670870802235,5.31905740421146 51.6703721313349,5.32747475439867 51.6733671599758,5.33447518693176 51.6678106573468,5.33888318844168 51.6639966409798,5.34230198767037 51.6654249513979,5.34148565670957 51.6661857751058,5.34395968458942 51.667445894695,5.35369293323783 51.6710734644808,5.35387843546924 51.6731420159107,5.35596213725304 51.6740039023391,5.35093936333626 51.6771448163813,5.35212704645471 51.68101885301,5.35285694826925 51.681438687562,5.35704338429505 51.6810774813489,5.35735135161536 51.6820027552415,5.36692649071643 51.6805715568487,5.3724665148271 51.6801086245758,5.37642894059449 51.6784307264052,5.37711025375016 51.6788018046034,5.37347894202561 51.6811722746774,5.36978407946104 51.6844005025462,5.36478868318277 51.6898755954525,5.3592722865735 51.6986819867475,5.3616310601213 51.6986746572489,5.3673386455909 51.6969463895295,5.37182235644684 51.6981221765986,5.37431642501011 51.7001387089478,5.38102332867113 51.7007909544809,5.38638442593379 51.7008819626707,5.39452461831347 51.6988928703101,5.39904222476283 51.6985447658724,5.40738743717807 51.699220482124,5.42753252726908 51.7014103274125,5.43933038651501 51.7004343703885,5.43949450280187 51.6986575582584,5.44335017373524 51.6976180380582,5.44135339173614 51.6946560874242,5.44563995502619 51.6953332812003,5.44754539746668 51.6949314795225,5.44516749619763 51.6885812077227,5.45167881814975 51.6867512689167,5.45271875586131 51.6884749627496,5.45687272790408 51.6875908415302,5.45876841293653 51.6920293836263,5.46032683896112 51.689651420093,5.46984978536233 51.6891367466394,5.46940135969846 51.6912688556929,5.47125374646215 51.6915807064406,5.47829147527463 51.7014312705959,5.48322987165641 51.7015239362756,5.49238588203427 51.7061006547562,5.49904819474702 51.7070252580792,5.49965606871169 51.7090083707444,5.49823184693075 51.7091773125859,5.49891889193399 51.7105657833955,5.49770657216024 51.711710602313,5.48781989653906 51.7120677387629,5.48777306105476 51.7128994200326,5.48459646133084 51.7135165608072,5.48241588896866 51.7177743812744,5.47869761296222 51.7238955308799,5.48013704614777 51.7244640220749,5.47424431920272 51.7289647203337,5.46318792066153 51.7258662754217,5.4625922394311 51.7281991939161,5.4600736101743 51.7307075913127,5.45784400393935 51.7299746925779,5.45471480435549 51.7328695574793,5.45312934339662 51.7324053457522,5.45192969316265 51.7340013322009,5.45419418438699 51.7354811019122,5.45053851857036 51.7393771076088,5.45139888195486 51.7396822635291,5.44373388972341 51.7506291304423,5.44396520876862 51.7534828738521,5.43881638438839 51.7650302779932,5.43111860275381 51.7640747466259,5.39277339657293 51.7602669293944,5.38923337196203 51.759226198291,5.37403309399357 51.7532446408362,5.36508916285613 51.7516484714786,5.36122296420133 51.7512214881318,5.35590476698736 51.7514349839214,5.35585496609721 51.752921262331,5.35351436260314 51.7554772502575,5.34954718926986 51.7541938037705,5.33217354949146 51.749647799436,5.32204122028086 51.7465236299323,5.3162527041029 51.7442551891866,5.30323228645668 51.73827827215,5.30033868043625 51.7372874374052,5.29599666187431 51.7367178721398,5.29310071672393 51.7369762518038,5.28440853751121 51.7395756138012,5.28006394614018 51.7400840705421,5.27282492527366 51.7400682510018,5.26558820571395 51.7391980834536,5.2626950459081 51.7383231692939,5.25546623632756 51.7348996619304,5.24967966007917 51.7335807066807,5.245334974122 51.7341777606521,5.24098561142349 51.7361858364908,5.2351834022636 51.7395940771884,5.22938417644894 51.7418964537822,5.2221393750149 51.7433875572342,5.21779513437408 51.7435161915334,5.21345304546951 51.7430783949955,5.20649417355845 51.7414771845716,5.2103749317306 51.7377110981789,5.21001547384599 51.7339461041736,5.21650767218468 51.730644648497,5.21934614668977 51.728150668475,5.22174379853597 51.7293861971615,5.22488404312865 51.7266554373179,5.22751741475923 51.7271508113949,5.22751741475923 51.7271508113949)))"
2,Aa en Hunze,,,1709,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1709,"MULTIPOLYGON (((6.90462000266837 53.0132345340603,6.85326580572541 53.0460057574674,6.77650937569128 53.0947606634992,6.74877247157842 53.0868398321563,6.74601299670162 53.085842543365,6.74510821686696 53.0846900557037,6.74800691033663 53.0835033213342,6.7492519190124 53.0837456627211,6.7497430126621 53.0815913486194,6.74580767813193 53.0806236553521,6.7336558733859 53.075515110017,6.72717366292985 53.0732211728699,6.72613850357084 53.0736659144739,6.71368719195853 53.0686969180219,6.71143297454264 53.0701130191863,6.69901466978937 53.0651735657349,6.69244815375543 53.0703837102109,6.6877862874704 53.0720831841058,6.67548428102382 53.0783922342289,6.67064810514321 53.0800622282103,6.66183613095914 53.0819852986906,6.65777420166649 53.0840302590937,6.64885507675904 53.0821885998825,6.64964391473788 53.0795772083475,6.65381627464006 53.0801295964416,6.65527707522629 53.0779861185012,6.65939212018607 53.0751249808449,6.66339907914642 53.0713549186065,6.66629278782567 53.0717310318226,6.66433050278193 53.0692742898324,6.66553302458337 53.068363358162,6.67048828226911 53.0666557746047,6.6695612145038 53.0648514557816,6.6714584003245 53.0645690432947,6.67001363557747 53.0634299889467,6.66562893070359 53.0622523953828,6.66416888514806 53.0600849371274,6.66692030678277 53.0582626140914,6.66109077260343 53.0559328443072,6.65401724201301 53.0556070727404,6.65117061102002 53.0527306589076,6.64677831450371 53.0503355354909,6.64538052396763 53.0478069693312,6.64229090907337 53.0457987973217,6.64216143722714 53.0427141740073,6.64057097399536 53.0419297279006,6.64465848400454 53.0393868739229,6.64859330570245 53.0263325271093,6.63122142942871 53.0261052411013,6.62986651357637 53.0232608845393,6.63264618186032 53.022036074478,6.6297040180665 53.0155169997482,6.62601101384315 53.0148965272349,6.62607754240759 53.0142045990191,6.62107426784311 53.0117654159522,6.62201397143924 53.010111111804,6.61602260141626 53.0082461269337,6.6150568738673 53.0065648192847,6.61256172262453 53.0047323971005,6.61324026875244 53.0034342432191,6.61225971235319 53.0008709658103,6.60786297099584 52.9953527634414,6.60740591516944 52.9935383105854,6.6082162378714 52.9915928529926,6.60734517302872 52.9872548631581,6.6056433298818 52.9843260646548,6.60351620434756 52.982633710682,6.59942941164587 52.9815378420792,6.59639472842191 52.9792002678926,6.59536618487877 52.975873264556,6.59604347900081 52.9726579894535,6.5812653170429 52.9674490619922,6.57121179717776 52.9587037532259,6.56991580326008 52.9577999580858,6.5673677621629 52.9525767675286,6.5654530764125 52.9502731335027,6.56285649995798 52.9493413090036,6.56283275456621 52.9471511810982,6.56150480165773 52.9466521207685,6.56507129598114 52.9449807703264,6.57526168436419 52.9317069038632,6.58582798031348 52.9194519205985,6.61482489489208 52.9183265443535,6.62545015477578 52.9128105051543,6.64170566320064 52.9120006782197,6.66673385105894 52.9094493731053,6.67498574899929 52.9050172058757,6.68091390119693 52.8903263175412,6.68637393692363 52.8753307929052,6.714563920385 52.8681588166299,6.7363370708201 52.8786912885882,6.73223393705127 52.8921824411062,6.72826236140386 52.9068653349668,6.72700173665259 52.9158882141066,6.72634725014228 52.927408615136,6.7241751920525 52.9372875785608,6.73142243899893 52.9375550289878,6.72771179169955 52.9547197621855,6.78875900417868 52.9627746663882,6.79931943758602 52.9658395014056,6.83771634630695 52.9776778651169,6.84191637664729 52.9786465440608,6.93568480387258 52.9933525455179,6.90462000266837 53.0132345340603,6.90462000266837 53.0132345340603)))"
3,Aalsmeer,,,,2131,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131,"MULTIPOLYGON (((4.79444287831849 52.2962670274112,4.79251967423015 52.2928328430469,4.78834139715571 52.2885309437353,4.78011385165115 52.2832445346585,4.76401246415865 52.2764176966619,4.75573187730691 52.274095680639,4.75016074982437 52.2733426968392,4.74654768300809 52.2721967872368,4.74402040127661 52.269994838285,4.73972016496621 52.2678100445876,4.72979544429876 52.2651629934214,4.72516417966586 52.2628830924016,4.72096895342801 52.2589064595781,4.71293211270753 52.2551453955286,4.70695046887326 52.249021494977,4.70514442876187 52.2466466134729,4.70037233894051 52.2439666907802,4.69271360514779 52.2427196939231,4.68654334936886 52.2405427871242,4.6817094294614 52.2393180290476,4.67848782301194 52.2356891992393,4.6763892678711 52.2339548478754,4.67029339387101 52.2307952708423,4.67669902339459 52.2259255202306,4.67997512569598 52.2267631089148,4.68288003081239 52.2263555803565,4.68730939998484 52.2271047328778,4.69624410562445 52.2321092728836,4.70371423624125 52.2337891913758,4.72091015500023 52.232520616258,4.72431956865229 52.2319628711622,4.72292394959138 52.2209773704516,4.72367734119944 52.2180057570565,4.72330196035959 52.2163538651162,4.77327152044335 52.2410340186898,4.76850464232481 52.244688505027,4.76827189025975 52.2476984764678,4.77086668768135 52.2499088876879,4.77967695686104 52.2537197624702,4.78088844557403 52.2535197101235,4.78293107679944 52.2551483248736,4.79508533739283 52.2602560913624,4.79454550127044 52.260848200292,4.79868613229506 52.2639549798374,4.8106007310739 52.277219766278,4.82102450885382 52.287333850985,4.82384216426004 52.290539874544,4.81149981509634 52.3033955737119,4.80988369261715 52.3057760998268,4.80374973756553 52.3036043927148,4.79883575465166 52.3014211114169,4.7956277256729 52.2992587523979,4.79444287831849 52.2962670274112,4.79444287831849 52.2962670274112)))"
